alfta,"En historisk pärla i Hälsingland"
bollnäs,"Hjärtat av Hälsingland"
Edsbyn,Du är på väg till Edsbyns museum och ser fram emot att se utställningen med Lim Johans konst. När du nästan är framme hör du skrikande däck ifrån en bil som tvärbromsar och sedan signalerar. Du vänder dig om och ser en figur som springer därifrån. Undrar vad som hände där tänker du och går vidare mot museet. Väl framme möts du av den uppjagade personalen Den är borta säger en av dem. vad är det som är borta? undrar du. Tavlan får du till svar tavlan är borta den var här alldeles nyss Då börjar du förstå och bestämmer dig för att ta upp jakten på tjuven.
ovanåker,Mitt i mellan Alfta och Edsbyn
roteberg,en lång by.
voxna, Här i Voxna börjar ett episkt äventyr. Svaret på frågan är tall och det skriver jag här bara för att det gick inte att lägga in en bild ifrån mobilen.

















